,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.9956828752588
4,-99.9956828752588
5,-99.9956828752588
6,-99.9956828752588
7,-99.9956828752588
8,-99.9956828752588
9,-99.9956828752588
10,-99.9956828752588
11,-99.9956828752588
12,-99.9956828752588
13,-99.43164288701556
14,-96.99162030688085
15,-93.61204946387554
16,-96.0288697111703
17,-83.51816614103394
18,-80.12203771665662
19,-80.87527115637621
20,-93.11085099376655
21,-72.77219208520825
22,-66.7786999443675
23,-70.04056699251845
24,-68.31082481811315
25,-79.0610632216013
26,-65.79418527955414
27,-64.37046033922908
28,-65.69499313767383
29,-67.66839443715634
30,-69.56649750304516
31,-69.32211139667552
32,-66.70471358006607
33,-63.187732846579365
34,-62.603623336819645
35,-57.62649918791226
36,-59.38635327867161
37,-61.703695270295775
38,-63.316559825448614
39,-63.128088174133
40,-57.64557506921434
41,-58.065778192004174
42,-54.18351535469897
43,-57.97733588232862
44,-53.96046854240718
45,-59.77798185841096
46,-58.57911195023413
47,-54.18663722812132
48,-58.210658124014024
49,-57.38781755787582
50,-68.51211142250982
51,-55.038722403216724
52,-58.487258980892506
53,-63.41006867432166
54,-63.6075920941801
55,-59.937797298572676
56,-58.16979303622121
57,-61.64412974725915
58,-56.918421588299715
59,-63.388403394944
