,0
0,-99.9956828752588
1,-99.78877683799347
2,-99.9956828752588
3,-99.9956828752588
4,-99.92635657184017
5,-99.9956828752588
6,-99.10158507465695
7,-99.73900202375964
8,-99.92664750480444
9,-99.9956828752588
10,-99.9956828752588
11,-99.9956828752588
12,-99.9956828752588
13,-99.9956828752588
14,-99.9956828752588
15,-99.9956828752588
16,-99.9956828752588
17,-99.9956828752588
18,-99.9956828752588
19,-99.9956828752588
20,-99.9956828752588
21,-99.88539447214421
22,-99.94970631613121
23,-99.9956828752588
24,-99.9956828752588
25,-99.9956828752588
26,-99.9956828752588
27,-99.89373364342508
28,-99.9956828752588
29,-99.9956828752588
30,-99.9956828752588
31,-99.9956828752588
32,-99.9956828752588
33,-99.9956828752588
34,-99.9956828752588
35,-99.9956828752588
36,-99.9956828752588
37,-99.9956828752588
38,-99.9956828752588
39,-99.9956828752588
40,-99.9956828752588
41,-99.9956828752588
42,-99.9956828752588
43,-99.9392502951292
44,-99.9956828752588
45,-99.87237543283126
46,-99.9956828752588
47,-99.9956828752588
48,-99.9956828752588
49,-99.9956828752588
50,-99.9956828752588
51,-99.9956828752588
52,-99.9956828752588
53,-99.9956828752588
54,-98.91736629424832
55,-99.94469245307793
56,-99.9950064321971
57,-99.9956828752588
58,-98.89560073719876
59,-99.9956828752588
