,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.34109461965261
3,-97.23289477677567
4,-99.99298429686358
5,-98.8308873367359
6,-81.4216726387029
7,-71.33757835182045
8,-73.44721042972724
9,-56.282532023270804
10,-66.63495344290976
11,-64.31686875184775
12,-59.894795761340184
13,-63.840240588754725
14,-61.84945401498128
15,-58.762207881522954
16,-52.74147587500749
17,-56.430735625521955
18,-53.16818000282523
19,-51.16401034027546
20,-49.9994504708705
21,-57.3551531168464
22,-53.69434046919981
23,-55.25640679312348
24,-50.531567542701815
25,-57.2556421025689
26,-61.596673134170395
27,-50.51757074656885
28,-50.66297204183333
29,-48.438882141798715
30,-49.19708875559447
31,-48.4925244288419
32,-48.25748577064145
33,-47.74007425260867
34,-46.702282262392636
35,-45.95714576764411
36,-46.859912419329774
37,-47.690677501003776
38,-45.677255529562416
39,-46.83146997051205
40,-46.496954654797335
41,-48.55542286494467
42,-47.73744281949185
43,-45.92851457747761
44,-48.66214764064712
45,-52.03703568761371
46,-50.94534890329725
47,-47.27307494099084
48,-47.71082506979682
49,-46.34808036869098
50,-48.40982847128862
51,-47.69678110416905
52,-46.12664365618902
53,-49.68866694907344
54,-47.05150779837862
55,-47.71629980610853
56,-47.999163604166576
57,-47.01221496116116
58,-46.37101795631474
59,-50.830387439314194
