,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.9956828752588
4,-99.9956828752588
5,-99.99249768654559
6,-99.9956828752588
7,-99.9956828752588
8,-99.9956828752588
9,-99.9956828752588
10,-99.80323891946598
11,-98.81094409304042
12,-98.99180196290312
13,-91.06809511577971
14,-96.85127559100383
15,-93.15401837050304
16,-84.67895549640681
17,-68.9255187212229
18,-82.34905798278226
19,-77.63277175220543
20,-81.1138648793866
21,-80.12392968717377
22,-82.18843887509932
23,-84.1674280567301
24,-69.04517500848873
25,-76.58890898492227
26,-74.86084409021124
27,-77.23191098449725
28,-68.34890103079294
29,-72.66277148977865
30,-66.69512580907977
31,-63.83993310246508
32,-61.01975965770302
33,-60.509251234009234
34,-68.47044764744624
35,-61.29144525716028
36,-66.393634457231
37,-66.63614008450061
38,-69.13997114117102
39,-69.39344335813558
40,-74.62225488883497
41,-71.18905165282439
42,-71.20942107984347
43,-68.26302795427654
44,-65.73630556188738
45,-68.09834277031081
46,-61.80065414032215
47,-61.81552717717779
48,-72.96825388164704
49,-67.64928525160893
50,-66.77673879898957
51,-62.342485706694916
52,-66.8462861568282
53,-79.16923977380661
54,-68.94718362443058
55,-64.24261611162535
56,-64.90337776357192
57,-67.15504183922513
58,-63.96150794738444
59,-64.00142939430378
